Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date
pisa2012_science,pisa2012_science,"Data on math, science and reading from a large scale international assessment of 15 year olds",https://www.oecd.org/pisa/data/pisa2012database-downloadabledata.htm,,10.1787/19963777,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Data modified from original. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/; more info at https://www.oecd.org/pisa/aboutpisa/License from https://www.oecd.org/pisa/aboutpisa/,RK,
pisa2015_math,pisa2015_math,"Data on math, science and reading from a large scale international assessment of 15 year olds",https://www.oecd.org/pisa/data/2015database/,,https://doi.org/10.1787/9789264281820-en,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Data modified from original. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/; more info at https://www.oecd.org/pisa/aboutpisa/License from https://www.oecd.org/pisa/aboutpisa/,RK,
pisa2015_read,pisa2015_read,"Data on math, science and reading from a large scale international assessment of 15 year olds",https://www.oecd.org/pisa/data/2015database/,,https://doi.org/10.1787/9789264281820-en,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Data modified from original. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/; more info at https://www.oecd.org/pisa/aboutpisa/License from https://www.oecd.org/pisa/aboutpisa/,RK,
pisa2015_science,pisa2015_science,"Data on math, science and reading from a large scale international assessment of 15 year olds",https://www.oecd.org/pisa/data/2015database/,,https://doi.org/10.1787/9789264281820-en,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Data modified from original. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/; more info at https://www.oecd.org/pisa/aboutpisa/License from https://www.oecd.org/pisa/aboutpisa/,RK,
pks_probability,pks_probability,Items about elementary probability theory. ,https://cran.r-project.org/web/packages/pks/index.html,"Heller, J., & Wickelmaier, F. (2013). Minimum discrepancy estimation in probabilistic knowledge structures. Electronic Notes in Discrete Mathematics, 42, 49-56.",10.1016/j.endm.2013.05.145,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-24-2023,BD,
polca_carcinoma,polca_carcinoma,Presence(=1) or absence of carcinoma in uterine cervix (ratings by 7 pathologists),https://cran.r-project.org/web/packages/poLCA/index.html,"Agresti, Alan. 2002. Categorical Data Analysis, second edition. Hoboken: John Wiley \& Sons.",10.1002/0471249688,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
polca_cheating,polca_cheating,Responses from undergrads to questions about cheating behaviors,https://cran.r-project.org/web/packages/poLCA/index.html,"Dayton, C. Mitchell. 1998. Latent Class Scaling Analysis. Thousand Oaks, CA: SAGE Publications.",https://doi.org/10.4135/9781412984720.n6,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
polca_election,polca_election,Questions about how certain statements fit candidates for 2000 US presidential election,https://cran.r-project.org/web/packages/poLCA/index.html,"The National Election Studies (https://electionstudies.org/). THE 2000 NATIONAL ELECTION STUDY [dataset]. Ann Arbor, MI: University of Michigan, Center for Political Studies [producer and distributor].",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
polca_values,polca_values,Survey responses to questions about universal values,https://cran.r-project.org/web/packages/poLCA/index.html,"Stouffer, S.A. and J. Toby. 1951. ""Role conflict and personality."" American Journal of Sociology. 56: 395:406.",10.1086/220785,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
political_psychology,political_psychology,Data on political ideologies,https://osf.io/3pwvb/,"Brandt, M. J., Turner-Zwinkels, F. M., & Kubin, E. (2021). Political Psychology Data from a 26-wave Yearlong Longitudinal Study (2019–2020). Journal of Open Psychology Data, 9(1). 10.5334/jopd.54",10.5334/jopd.54,CC-By Attribution 4.0 International ,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,LCM,
preference_inventory,preference_inventory,"Data on peoples' activity preferences, which corresponds with different parts of the brain",http://openpsychometrics.org/_rawdata/,"Wagner, Rudolph F., and Kelly A. Wells. ""A refined neurobehavioral inventory of hemispheric preference."" Journal of clinical psychology 41.5 (1985): 671-676.///Wagner Preference Inventory [dataset and codebook]. http://openpsychometrics.org/_rawdata/Wagner.zip",,,Public,CC BY 4.0,,LCM,
protestant_workethic,protestant_workethic,"Data from an online survey that collects participants' sentiments on various ""protestant work ethic"" statements",http://openpsychometrics.org/_rawdata/,Protestant Work Ethic Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/PWE_data.zip,,,Public,CC BY 4.0,,LCM,
psychoneurotic_inventory,psychoneurotic_inventory,"Data from online participants on the Woodworth Psychoneurotic Inventory, which is considered by some to be the first personality test",http://openpsychometrics.org/_rawdata/,Woodworth Psychoneurotic Inventory [dataset and codebook]. http://openpsychometrics.org/_rawdata/WPI.zip,,,Public,CC BY 4.0,,LCM,
psychotools_conspiracist,psychotools_conspiracist,Measure of belief in conspiracy theories,https://cran.r-project.org/web/packages/psychotools/index.html,"Brotherton R, French CC, Pickering AD (2013). Measuring Belief in Conspiracy Theories: The Generic Conspiracist Beliefs Scale. Frontiers in Psychology, 4, 279.",10.3389/fpsyg.2013.00279,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychotools_gratitude,psychotools_gratitude,Response to gratitudes scales from youth and adolescents,https://cran.r-project.org/web/packages/psychotools/index.html,"Froh, J. J., Fan, J., Emmons, R. A., Bono, G., Huebner, E. S., & Watkins, P. (2011). Measuring gratitude in youth: Assessing the psychometric properties of adult gratitude scales in children and adolescents. Psychological Assessment, 23(2), 311–324. https://doi.org/10.1037/a0021590",10.1037/a0021590,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychotools_mathexam,psychotools_mathexam,Responses to math exam,https://cran.r-project.org/web/packages/psychotools/index.html,"Zeileis A, Umlauf N, Leisch F (2014). Flexible Generation of E-Learning Exams in R: Moodle Quizzes, OLAT Assessments, and Beyond. Journal of Statistical Software, 58(1), 1–36. doi:10.18637/jss.v058.i01",10.18637/jss.v058.i01,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_ability,psychtools_ability,Data from the Synthetic Aperture Personality Assessment personality and ability test ,https://cran.r-project.org/web/packages/psychTools/index.html,"Revelle, William, Dworak, Elizabeth M. and Condon, David (2020) Cognitive ability in everyday life: the utility of open-source measures. Current Directions in Psychological Science, 29, (4) 358-363. Open access at doi:10.1177/0963721420922178.",10.1177/0963721420922178,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_Athenstaedt,psychtools_athenstaedt,Gender role self-concept inventory,https://cran.r-project.org/web/packages/psychTools/index.html,"Ursula Athenstaedt (2003) On the Content and Structure of the Gender Role Self-Concept: Including Gender-Stereotypical Behaviors in Addition to Traits. Psychology of Women Quarterly, 27, 309-318. doi: 10.1111/1471-6402.00111.",10.1111/1471-6402.00111,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_bfi,psychtools_bfi,ipip personality data from the SAPA project,https://cran.r-project.org/web/packages/psychTools/index.html,"Revelle, W., Wilt, J., and Rosenthal, A. (2010) Individual Differences in Cognition: New Methods for examining the Personality-Cognition Link In Gruszka, A. and Matthews, G. and Szymura, B. (Eds.) Handbook of Individual Differences in Cognition: Attention, Memory and Executive Control, Springer.",10.1007/978-1-4419-1210-7_2,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_blot,psychtools_blot,Bond's Logical Operations Test,https://cran.r-project.org/web/packages/psychTools/index.html,"T.G. Bond. BLOT:Bond’s Logical Operations Test. Townsville, Australia: James Cook University. (Original work published 1976), 1995",10.1007/1-4020-3076-2_18,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_epi,psychtools_epi,Eysenck Personality Inventory,https://cran.r-project.org/web/packages/psychTools/index.html,"Eysenck, H.J. and Eysenck, S. B.G. (1968). Manual for the Eysenck Personality Inventory.Educational and Industrial Testing Service, San Diego, CA.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_geras,psychtools_geras,Gender-related activities survey,https://cran.r-project.org/web/packages/psychTools/index.html,"Gruber, Freya M. and Distlberger, Eva and Scherndl, Thomas and Ortner, Tuulia M. and Pletzer, Belinda (2020) Psychometric properties of the multifaceted Gender-Related Attributes Survey (GERAS) European Journal of Psychological Assessment, 36, (4) 612-623.",10.1027/1015-5759/a000528,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_msq,psychtools_msq,Motivational State Questionnaire,https://cran.r-project.org/web/packages/psychTools/index.html,"Revelle, W. and Anderson, K.J. (1998) Personality, motivation and cognitive performance: Final report to the Army Research Institute on contract MDA 903-93-K-0008. (https://www.personality-project. org/revelle/publications/ra.ari.98.pdf).",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
psychtools_sai,psychtools_sai,State anxiety data over multiple studies,https://cran.r-project.org/web/packages/psychTools/index.html,"Revelle, William and Anderson, Kristen Joan (1997) Personality, motivation and cognitive performance: Final report to the Army Research Institute on contract MDA 903-93-K-0008",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
ptam1_immer,ptam1_immer,Ratings of students (Example 3 of ConQuest manual,https://cran.r-project.org/web/packages/immer/index.html,n/a,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
quantshort,quantshort,Item responses from Swedish college entrance exam.,https://cran.r-project.org/web/packages/TestGardener/index.html,"Ramsay J (2023). _TestGardener: Optimal Analysis of Test and Rating Scale Data_. R package version 3.1.4, <https://CRAN.R-project.org/package=TestGardener>.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
RDatasets_gssabortion,rdatasets_gssabortion,GSS data on abortion attitudes,https://vincentarelbundock.github.io/Rdatasets/,n/a,,GPL-3,Public,GPL-3,Data modified from original on 3-15-2023,BD,
riasec,riasec,"Data from the Holland Code (RIASEC) Test, wherein participants rated how much they would like to perform certain tasks",http://openpsychometrics.org/_rawdata/,(2018). Holland Code (RIASEC) Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/RIASEC_data12Dec2018.zip,,,Public,CC BY 4.0,,LCM,
rightwing_authoritariansim,rightwing_authoritariansim,Data from a survey that probes facist ideologies to try to understand those regimes and their followers,http://openpsychometrics.org/_rawdata/,"Altemeyer, B (2015). Right-wing Authoritarianism Scale [dataset and codebook]. https://openpsychometrics.org/_rawdata/RWAS.zip",,,Public,CC BY 4.0,,LCM,
RLMS_MLCIRTwithin,rlms_mlcirtwithin,Responses to job satisfaction items,https://cran.r-project.org/web/packages/MLCIRTwithin/index.html,"Bartolucci, F., Bacci, S., & Gnaldi, M. (2015). Statistical analysis of questionnaires: A unified approach based on R and Stata (Vol. 34). CRC press.",10.1201/b18735,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
roar_lexical,roar_lexical,Responses from a Lexical Decision Task.,https://github.com/yeatmanlab/LexicalDecision/blob/master/data_allsubs/LDT_alldata_long.csv,"Yeatman, J. D., Tang, K. A., Donnelly, P. M., Yablonski, M., Ramamurthy, M., Karipidis, I. I., ... & Domingue, B. W. (2021). Rapid online assessment of reading ability. Scientific reports, 11(1), 6396.",10.1038/s41598-021-85907-x,Email confirmation,Public,CC BY 4.0,,BD,
",,,Public,CC BY 4.0,,LCM,
rr98_accuracy,rr98_accuracy,Luminosity discrimination tasks,https://cran.r-project.org/web/packages/rtdists/index.html,"Ratcliff, R., & Rouder, J. N. (1998). Modeling Response Times for Two-Choice Decisions. Psychological Science, 9(5), 347-356. http://doi.org/10.1111/1467-9280.00067",10.1111/1467-9280.00067,GPL (≥ 3),Public,GPL-3,Data modified from original on 1-27-2023,BD,
Condon, David M.; Revelle, William, 2015, ""Selected personality data from the SAPA-Project: 08Dec2013 to 26Jul2014"", https://doi.org/10.7910/DVN/SD7SVE, Harvard Dataverse, V4, UNF:6:9B60JNIFXXKXmyLhABjoUA== [fileUNF]",10.7910/DVN/SD7SVE,CC0 1.0 ,Public,CC BY 4.0,,BD,
sds,sds,Item responses from the Symptom Distress Scale,https://cran.r-project.org/web/packages/TestGardener/index.html,"Ramsay J (2023). _TestGardener: Optimal Analysis of Test and Rating Scale Data_. R package version 3.1.4, <https://CRAN.R-project.org/package=TestGardener>.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
sem_cnes,sem_cnes,Responses to 1997 Canadian National Election Study regarding 'traditional values',https://cran.r-project.org/web/packages/sem/index.html,"Fox, J. (2006) Structural equation modeling with the sem package in R. Structural Equation Modeling 13:465–486.",10.1207/s15328007sem1303_7,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
sexual_compulsivity,sexual_compulsivity,Answers to the Sexual Compulsivity Scale,http://openpsychometrics.org/_rawdata/,Sexual Compulsivity Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/SCS.zip,,,Public,CC BY 4.0,,LCM,
///Snell Jr., W. The Multidimensional Sexual Self-Concept Questionnaire"" (MSSCQ) [dataset and codebook]. http://openpsychometrics.org/_rawdata/MSSCQ.zip",10.13140/RG.2.1.5057.1928,,Public,CC BY 4.0,,LCM,
SF12_MLCIRTwithin,sf12_mlcirtwithin,Quality of life items asked of oncology patients,https://cran.r-project.org/web/packages/MLCIRTwithin/index.html,"Ware, J., Kosinski, M., Turner-Bowker, D. and Gandek, B. (2002), SF-12v2. How to score version 2 of the SF-12 health survey, QualityMetric Incorporated: Lincoln.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
short_dark_triad,short_dark_triad,Data on the dark triad personality traits,http://openpsychometrics.org/_rawdata/,"Paulhus, D. L., & Jones, D. N. (2011, January). Introducing a short measure of the Dark Triad. Poster presented at the meeting of the Society for Personality and Social Psychology, San Antonio.///Short Dark Triad [dataset and codebook]. http://openpsychometrics.org/_rawdata/SD3.zip",10.1177/1073191113514105,,Public,CC BY 4.0,,LCM,
si09_sirt,si09_sirt,Employee-helping behavior across 8 countries.,https://cran.r-project.org/web/packages/sirt/index.html,"Fischer, R., & Karl, J. A. (2019). A primer to (cross-cultural) multi-group invariance testing possibilities in R. Frontiers in psychology, 1507.",10.3389/fpsyg.2019.01507,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,
smacof_pvq40,smacof_pvq40,Abbreviated version of PVQ40,https://cran.r-project.org/web/packages/smacof/index.html,"Borg, I., Bardi, A., & Schwartz, S. H. (2017). Does the value circle exist within persons or only across persons? Journal of Personality, 85(2), 151-162",10.1111/jopy.12228,GPL-3,Public,GPL-3,Data modified from original on 2-13-2023,BD,
spanishmegastudy,spanishmegastudy,General knowledge items,https://figshare.com/articles/dataset/Supplementary_files_for_The_predictors_of_general_knowledge_data_from_a_Spanish_megastudy/14073899,"Buades-Sitjar, F., Boada, R., Guasch, M., Ferré, P., Hinojosa, J. A., & Duñabeitia, J. A. (2022). The predictors of general knowledge: Data from a Spanish megastudy. Behavior Research Methods, 54(2), 898-909.",10.6084/m9.figshare.14073899,CC BY 4.0,Public,CC BY 4.0,Data modified from original on 3-15-2023. Original license available at: https://creativecommons.org/licenses/by/4.0/,BD,
swmd_mokken,swmd_mokken,Well-being scale from students about teachers,https://cran.r-project.org/web/packages/mokken/index.html,"Zijsling, D., Keuning, J., Keizer-Mittelhaeuser, M.-A., Naaijer, H., & Timmermans, A. (2017). Cohortonderzoek COOL5-18: Technisch rapport meting VO-3 in 2014. Onderwijs/Onderzoek",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
tdri,tdri,Measure of inductive reasoning,https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321,"Golino, H. F., & Gomes, C. M. (2015). Investigando estágios de desenvolvimento do raciocínio indutivo usando a análise fatorial confimatória, o Modelo Logístico Simples de Rasch e o modelo de teste logístico linear (Rasch Estendido). In H. F. Golino, C. M. Gomes, A. Amantes, & G. Coelho, Psicometria Contemporânea: Compreendendo os Modelos Rasch (pp. 283-331). São Paulo: Casa do Psicólogo/Pearson.",,CC BY 4.0,Public,CC BY 4.0,Data modified from original on 3-15-2023. Original license available at: https://creativecommons.org/licenses/by/4.0/,BD,
tears,tears,Video ratings of emotional experience due to a video,https://osf.io/uyjeg/,"Küster, D., Baker, M., & Krumhuber, E. G. (2022). PDSTD-The Portsmouth Dynamic Spontaneous Tears Database. Behavior Research Methods, 54(6), 2678-2692.",10.3758/s13428-021-01752-w,CC-By Attribution 4.0 International ,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,BD,
for Research Data in Psychology.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
test_taking_patterns_over_time,test_taking_patterns_over_time,"Data collected from Estonian ""National Intelligence Tests"" at two time points (1933/36, 2006)",https://openpsychologydata.metajnl.com/articles/10.5334/jopd.ab,"Must, O., & Must, A. (2014). Data from “Changes in test-taking patterns over time” concerning the Flynn Effect in Estonia. Journal of Open Psychology Data, 2(1).",10.1016/j.intell.2013.04.005,CC0,Public,CC BY 4.0,,Yiqing Liu,
timss_tam,timss_tam,TIMSS 2011 data from Australian and Taiwanese students,https://cran.r-project.org/web/packages/TAM/index.html,"Robitzsch A, Kiefer T, Wu M (2022). TAM: Test Analysis Modules. R package version 4.1-4, https://CRAN.R-project.org/package=TAM.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
tma,tma,Data form the Taylor manifest anxiety scale.,https://openpsychometrics.org/_rawdata/,"Taylor, J. (1953). ""A personality scale of manifest anxiety"". The Journal of Abnormal and Social Psychology, 48(2), 285-290.",10.1037/h0056264,,Public,CC BY 4.0,,BD,
transreas_mokken,transreas_mokken,Transitive reasoning tasks,https://cran.r-project.org/web/packages/mokken/index.html,"Verweij, A. C., Sijtsma, K., & Koops, W. (1996). A Mokken scale for transitive reasoning suited for longitudinal research. International Journal of Behavioral Development, 23, 241-264. doi: 10.1177/016502549601900115",10.1177/016502549601900115,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
trees_sirt,trees_sirt,Fifteen forest managers (items) classified 387 trees (ids) for removal.,https://cran.r-project.org/web/packages/sirt/index.html,"Pommerening, A., Pallarés Ramos, C., Kędziora, W., Haufe, J., & Stoyan, D. (2018). Rating experiments in forestry: How much agreement is there in tree marking?. PLoS One, 13(3), e0194747.",10.1371/journal.pone.0194747,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,
verbagg,verbagg,Self-Reports of whether one would want or do acts of verbal aggression.,https://rdrr.io/cran/lme4/man/VerbAgg.html,"De Boeck and Wilson (2004), Explanatory Item Response Models, Springer.",10.1007/978-1-4757-3990-9,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,
vocab_assessment_3_to_8_year_old_children,vocab_assessment_3_to_8_year_old_children,Receptive vocabulary task (in German) for children 3-8,https://github.com/ccp-eva/vocab,"Bohn, M., Prein, J. C., Delikaya, B., Haun, D. B. M., & Gagarina, N. (2022, August 24). oREV: an Item Response Theory based open receptive vocabulary task for 3 to 8-year-old children. https://doi.org/10.31234/osf.io/4z86w",10.31234/osf.io/4z86w,Creative Commons Attribution 4.0 International,Public,CC BY 4.0,Data modified from original on 5-5-2023. Original license: https://github.com/ccp-eva/vocab/blob/main/LICENSE,Belen Chavez,
vocabulary_iq,vocabulary_iq,Data on vocabulary knowledge and personality items,http://openpsychometrics.org/_rawdata/,(2018). Vocabulary IQ Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/VIQT_data.zip,,,Public,CC BY 4.0,,LCM,
",Public,CC BY 4.0,,LCM,
wirs,wirs,Attitudinal items involving workplace negotiations.,https://cran.r-project.org/web/packages/ltm/index.html,"Bartholomew, D. (1998) Scaling unobservable constructs in social science. Applied Statistics, 47, 1–13.",10.1111/1467-9876.00094,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-25-2023,BD,
NARQing,narqing,Data from the Narcissistic Admiration and Rivalry Questionnaire (NARQ) along with Rosenberg self-esteem (RSE) and Multigroup Ethnic Identity Measure (MEIM).,https://osf.io/3g4sw,"Chou, E., Westberg, D. W., Nguyen, P. L., & Syed, M. (2023, October 28). The Structure and Correlates of the Narcissistic Admiration and Rivalry Questionnaire among U.S. Racial/Ethnic Groups. https://doi.org/10.31234/osf.io/w3rxe",10.31234/osf.io/w3rxe,CC-By Attribution 4.0 International ,Public,,,BD,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
Cella, David, 2015, ""PROMIS 1 Wave 1"", https://doi.org/10.7910/DVN/0NGAKG, Harvard Dataverse, V3, UNF:6:sXYqKDzGWfX7QuTXNGpjGQ== [fileUNF]",10.7910/DVN/0NGAKG,CC0 1.0,Public,CC0 1.0,,bd,2-2-2024
alcoholresearch_sumscore,alcoholresearch_sumscore,Alcohol use disorder scale,https://figshare.com/collections/Evaluating_the_cost_of_simplicity_in_score_building_An_example_from_alcohol_research/6949991,"Rousson, V., Trächsel, B., Iglesias, K., & Baggio, S. (2023). Evaluating the cost of simplicity in score building: An example from alcohol research. Plos one, 18(11), e0294671.",10.1371/journal.pone.0294671,CC-BY,Public,CC-BY,,bd,2-15-2024
novelobjectmatching,novelobjectmatching,Object matching tasks,https://osf.io/pv6ye/,"Growns, B., Towler, A., & Martire, K. (2023). The novel object-matching test (NOM Test): A psychometric measure of visual comparison ability. Behavior research methods, 1-10.",10.3758/s13428-023-02154-w,CC BY 4.0,Public,CC BY 4.0,,yuhang,2-28-2024
concretewords,concretewords,Concreteness (is word's meaning understood through perception and action) of expressions,https://osf.io/ksypa/,"Muraki, E. J., Abdalla, S., Brysbaert, M., & Pexman, P. M. (2023). Concreteness ratings for 62,000 English multiword expressions. Behavior Research Methods, 55(5), 2522-2531.",10.3758/s13428-022-01912-6,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,,3-7-2024
anxiety_gastro_symptoms,anxiety_gastro_symptoms,Anxiety regarding gastrointestinal symptoms for those with eating pathology,https://osf.io/gh624/?view_only=368337e779ea4ab9b6eea1532b582d43,"Forney, K. J., Burton Murray, H., Brown, T. A., Guadagnoli, L., Pucci, G., & Taft, T. (2023). Validation of a measure of hypervigilance and anxiety about gastrointestinal symptoms for individuals with elevated eating pathology. Psychological Assessment.",10.1037/pas0001280,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,
DEMOS,demos,Ratings of human body movements averaged across raters on four dimensions,https://osf.io/83fst/,"Zhang, M., Yu, L., Zhang, K., Du, B., Zhan, B., Jia, S., ... & Luo, W. (2023). Construction and validation of the Dalian emotional movement open-source set (DEMOS). Behavior Research Methods, 55(5), 2353-2366.",10.3758/s13428-022-01887-4,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,bd/annie,3-6-2024
hmcdm_spatialreasoning,hmcdm_spatialreasoning,Data from a spatial reasoning task (fifth wave of data collection),https://cran.r-project.org/web/packages/hmcdm/index.html,"Zhang S, Wang S, Chen Y, Kwon S (2023). _hmcdm: Hidden Markov Cognitive Diagnosis Models for Learning_. R package version  2.1.1, <https://CRAN.R-project.org/package=hmcdm>.",,GPL-2 | GPL-3,Public,GPL-3,Data reformatted from original on 3-13-2024.,bd,
fractals_rating,fractals_rating,Responses related to abstract fractals,https://osf.io/ckfmv/,"Ovalle-Fresa, R., Di Pietro, S. V., Reber, T. P., Balbi, E., & Rothen, N. (2022). Standardized database of 400 complex abstract fractals. Behavior Research Methods, 54(5), 2302-2317.",10.3758/s13428-021-01726-y,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/annie,3-26-2024
Resistance,resistance,Data from the resistance to framing scale,https://osf.io/j5n6f/,"Geiger, S.J., Vintr, J. & Rachev, N.R. A reassessment of the Resistance to Framing scale. Behav Res 55, 2320–2332 (2023). https://doi.org/10.3758/s13428-022-01876-7",10.3758/s13428-022-01876-7,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,,
Veterans.Affairs.SSVF.Survey.2016-17,veterans.affairs.ssvf.survey.2016-17,VA Satisfaction survey related to supportive services for low-income veterans (2016-2017),https://github.com/data-liberation-project/va-ssvf-survey-data,https://www.data-liberation-project.org/datasets/va-ssvf-survey-data/,, CC BY-SA 4.0 ,Public, CC BY-SA 4.0 ,,bd/lynn99kek,3-26-2024
